Yr,Month,Day,Hr,Min,Lon,Lat,Mag,Depth
1988,1,3,7,57,-98.9,16.13,3.7,26
1988,1,3,16,42,-97.92,16.09,4.3,4
1988,1,3,17,56,-98.82,16.33,3.9,10
1988,1,4,6,20,-98.26,16.47,4.8,34
1988,1,4,15,36,-97.48,15.81,4,17
1988,1,4,20,8,-98.68,16.26,3.8,5
1988,1,5,23,4,-97.27,15.88,3.8,14
1988,1,6,21,26,-97.06,16.1,3.8,17
1988,1,10,13,25,-98.18,16.07,4.2,9
1988,1,11,9,16,-98.38,16.01,3.6,8
1988,1,11,23,27,-98.28,16.24,3.7,0
1988,1,13,5,13,-97.27,15.88,4.1,10
1988,1,17,22,51,-98.4,16.22,3.1,20
1988,1,19,12,23,-98.99,16.4,4.7,25
1988,1,19,15,23,-99.36,16.15,4.7,15
1988,1,20,6,42,-99.02,16.32,3.9,20
1988,1,27,9,40,-98.13,16.49,3.7,5
1988,1,31,6,53,-97.62,15.98,3.6,14
1988,2,3,15,14,-98.89,16.32,3.6,10
1988,2,5,3,26,-98.1,16.08,4.5,6
1988,2,7,8,9,-98.03,16.15,4.7,10
1988,2,8,14,58,-97.04,15.71,4.1,20
1988,2,11,8,56,-98.63,16.07,3.3,33
1988,2,16,6,0,-96.42,15.22,3.9,10
1988,2,19,20,7,-98.39,16.4,4.1,20
1988,2,22,20,19,-97.63,16.19,4.2,15
1988,2,25,18,14,-96.5,16.3,3.9,36
1988,2,29,14,24,-98.35,16.91,3.8,10
1988,3,5,18,35,-97.67,15.99,3.3,10
1988,3,5,23,15,-98.27,16.3,3,6
1988,3,8,10,54,-97.07,16.15,4,5
1988,3,8,14,35,-98.13,16.4,3.1,5
1988,3,10,23,33,-98.43,15.71,3.5,10
1988,3,14,21,24,-98.4,16.09,3.3,10
1988,3,17,11,43,-98.08,16.2,2.8,2
1988,3,18,1,52,-98.59,15.89,3.6,10
1988,3,22,18,36,-98.13,15.9,3.2,8
1988,3,31,20,41,-98.02,15.91,4.4,0
1988,4,2,5,48,-97.31,15.96,3.2,15
1988,4,2,10,9,-98.61,16.7,4.2,34
1988,4,3,5,8,-97.52,16.13,3.1,21
1988,4,3,18,24,-97.06,16.15,3.7,10
1988,4,4,7,19,-97.59,16.13,4.3,13
1988,4,4,20,15,-98.19,16.23,3.8,5
1988,4,5,2,15,-95.76,15.67,3.8,19
1988,4,10,9,10,-96.53,15.19,4.4,15
1988,4,12,7,20,-97.48,16.04,3.7,10
1988,4,13,21,30,-98.39,15.86,4.4,5
1988,4,13,21,34,-98.43,16.06,4.2,5
1988,4,13,22,26,-98.45,15.84,4,17
1988,4,14,7,57,-98.11,16.13,3.4,10
1988,4,14,21,25,-98.11,16.12,3.6,10
1988,4,15,1,2,-98.16,16.19,3.1,26
1988,4,16,1,55,-98.27,15.61,3.6,39
1988,4,16,11,2,-98.23,16.04,4.2,5
1988,4,17,2,17,-99.63,16.57,3.3,10
1988,4,19,21,8,-97.62,16.07,3.3,20
1988,4,20,21,32,-97.6,16.2,3.2,10
1988,4,23,23,3,-98.69,16.32,2.7,32
1988,4,23,23,32,-98.42,16.66,3.4,5
1988,4,24,2,9,-98.11,16.23,3.1,7
1988,4,26,17,20,-98.46,16.07,3.7,5
1988,4,27,21,27,-95.97,16.06,3.9,15
1988,4,28,9,27,-96.57,15.96,3.7,30
1988,4,28,15,58,-97.65,15.96,4,17
1988,4,28,19,6,-97.6,15.89,3.5,35
1988,4,28,21,59,-99.47,16.76,4.2,15
1988,5,2,10,53,-98.04,15.92,4.8,10
1988,5,2,10,55,-98.07,16.24,4.4,10
1988,5,2,12,8,-97.96,16.11,4,15
1988,5,3,11,4,-99.01,16.33,4.3,20
1988,5,6,9,59,-98.78,16.5,3.1,18
1988,5,6,11,35,-98.9,16.55,3.5,6
1988,5,9,4,38,-98.24,16.14,3.4,10
1988,5,9,5,41,-98.13,16.03,5.1,10
1988,5,9,6,32,-97.92,16.21,3.8,27
1988,5,9,7,5,-98.18,16.3,3.5,3
1988,5,9,14,56,-98.14,16.22,3.5,10
1988,5,12,8,59,-98.2,16.13,3.4,15
1988,5,14,4,59,-98.73,15.76,4.5,20
1988,5,15,4,35,-98.8,16.01,3.1,22
1988,5,16,22,57,-98.3,16.24,3.7,4
1988,5,17,10,36,-97.08,16.06,3.9,6
1988,5,18,15,35,-97.93,16.04,3.4,33
1988,5,18,17,47,-96.14,15.87,3.9,5
1988,5,19,9,58,-97.24,15.92,3.8,14
1988,5,19,11,30,-98.22,16.21,3.4,10
1988,5,19,12,28,-97.57,15.94,3.7,13
1988,5,21,11,31,-98.17,16.22,3.4,10
1988,5,23,18,51,-99.03,16.04,3.1,8
1988,5,26,13,41,-97.01,16.06,4.5,20
1988,5,29,20,40,-97.97,16.24,4,10
1988,5,30,14,51,-98.31,16.01,3.2,10
1988,6,4,20,49,-98.31,16.73,3.7,20
1988,6,7,14,3,-98.54,16.4,4.1,11
1988,6,8,21,18,-98.92,16.13,5.1,21
1988,6,9,12,12,-98.48,15.66,4,20
1988,6,9,14,56,-98.82,15.94,4.7,17
1988,6,11,4,35,-98.37,16.38,3.8,29
1988,6,11,19,4,-99.08,15.95,4.3,20
1988,6,14,7,54,-98.23,16.31,3.8,15
1988,6,16,7,37,-98.27,16.4,3.9,40
1988,6,21,20,55,-97.98,16.36,4.1,10
1988,6,24,21,56,-98.13,16.4,3.4,3
1988,7,4,7,31,-97.58,16.05,4.2,15
1988,7,6,7,39,-96.02,15.56,4.2,14
1988,7,6,14,22,-96.17,15.19,3.9,34
1988,7,8,10,51,-97.31,15.8,4,14
1988,7,8,22,16,-98.27,15.89,4.2,20
1988,7,13,5,6,-96.03,16.07,4.1,14
1988,7,19,23,24,-96.83,15.24,4,15
1988,7,20,4,16,-98.38,16.76,4.2,33
1988,7,22,19,25,-98.12,15.97,4.5,17
1988,7,24,13,34,-97.96,15.66,4.1,20
1988,7,25,15,23,-97.36,16.05,4.2,15
1988,7,26,11,22,-98.48,16.28,4.2,15
1988,7,28,2,38,-97.6,15.65,4,34
1988,7,28,7,46,-97.16,15.76,3.9,14
1988,7,29,11,27,-97.2,15.84,4.4,16
1988,8,11,6,30,-97.18,15.71,3.8,10
1988,8,13,3,9,-97.69,16.23,4.1,10
1988,8,16,23,21,-98.62,16.09,4.5,10
1988,8,18,6,2,-97.98,15.79,3.8,16
1988,8,21,6,59,-97.7,16.37,4.3,12
1988,8,26,8,37,-97.06,15.5,4.2,20
1988,9,1,3,49,-97,15.52,4.1,20
1988,9,1,16,52,-99.62,16.27,5,24
1988,9,2,9,20,-99.38,16.22,3.8,10
1988,9,3,4,34,-98.11,15.53,4.4,15
1988,9,5,15,40,-98.18,16,3.8,19
1988,9,6,0,50,-96.17,16,4.3,9
1988,10,7,0,22,-99.16,16.31,3.8,20
1988,10,9,13,20,-96.75,15.94,3.6,20
1988,10,11,5,14,-97.34,15.84,3.5,17
1988,10,11,5,40,-97.41,15.93,3.2,35
1988,10,15,14,6,-99.19,16.12,4.7,22
1988,10,15,14,18,-99.25,16.02,4.1,10
1988,10,20,22,12,-98.08,15.99,4.1,20
1988,10,21,9,57,-97.39,15.95,3.5,35
1988,10,22,20,20,-97.27,15.84,4.9,20
1988,10,23,8,20,-97.3,15.84,3.8,17
1988,10,26,16,35,-96.73,15.89,3.8,17
1988,10,30,5,27,-96.5,15.84,3.8,7
1988,11,3,2,41,-96.73,16.08,4.4,10
1988,11,6,14,10,-96.97,16.02,4,31
1988,11,7,21,52,-97.32,15.49,4.1,10
1988,11,11,0,52,-96.63,15.87,3.7,16
1988,11,11,10,41,-97.52,16.51,3.9,15
1988,11,12,3,16,-98.14,16.52,3.9,10
1988,11,15,16,53,-96.96,16.04,3.7,8
1988,11,17,18,5,-96.77,15.96,3.9,15
1988,11,25,6,23,-99.24,16.14,4.3,15
1988,11,25,10,32,-98.04,15.8,3.9,15
1988,11,25,17,36,-97.54,15.85,4,10
1988,11,30,18,49,-96.81,15.67,4.6,8
1988,12,3,23,42,-97.36,15.42,3.8,10
1988,12,4,19,28,-98.99,16.66,4,40
1988,12,5,9,46,-96.8,15.81,4,15
1988,12,5,13,46,-99.52,16.87,3.3,32
1988,12,6,11,2,-97.27,15.95,3.7,15
1988,12,6,14,54,-96.81,15.79,4.6,30
1988,12,12,6,33,-99.75,16.6,4.2,15
1988,12,14,3,29,-97.44,16,3.9,13
1988,12,19,5,59,-96.84,15.68,4.2,17
1988,12,21,8,59,-98.72,16.44,3.8,15
1988,12,23,10,22,-99.58,16.38,4.3,19
1989,1,1,14,52,-97.75,15.52,4.4,15
1989,1,3,15,34,-95.85,15.55,4.5,40
1989,1,4,15,4,-97.93,15.61,5,15
1989,1,6,5,31,-99.14,16.74,3.9,15
1989,1,7,1,25,-97.88,15.74,4.1,6
1989,1,15,6,1,-97.97,15.78,4.3,9
1989,1,21,21,43,-96.69,16.14,4.3,6
1989,1,22,0,30,-97.44,16.02,4.2,14
1989,1,25,0,5,-98.54,16.63,3.9,40
1989,1,26,9,1,-96.05,15.5,4.4,10
1989,1,27,6,51,-97.12,15.39,4.2,20
1989,1,27,6,54,-97.11,15.45,4.3,7
1989,1,30,16,39,-97.61,16.11,3.8,34
1989,2,1,21,21,-98.2,16.4,4.1,11
1989,2,2,5,25,-96.4,15.16,4.6,5
1989,2,3,12,45,-96.04,15.6,3.9,20
1989,2,3,14,16,-97.42,16.06,4.2,10
1989,2,5,0,54,-98.03,15.93,3.9,20
1989,2,8,20,46,-97,15.84,4.1,13
1989,2,9,12,53,-96.54,15.38,4,15
1989,2,9,20,6,-97.83,15.55,4.1,10
1989,2,9,23,49,-96.88,15.66,3.9,21
1989,2,11,11,33,-97.15,15.85,3.8,32
1989,2,14,2,46,-99.46,16.35,3.7,15
1989,2,16,16,37,-98.19,15.91,4,20
1989,2,20,0,36,-98.2,16.01,4.2,20
1989,2,20,21,6,-98.75,16.39,3.6,20
1989,2,21,16,7,-97.11,16.18,3.9,10
1989,2,25,20,48,-98.03,15.96,4.7,5
1989,2,27,14,53,-98,15.97,4.2,5
1989,2,28,14,22,-99.06,16.03,4.1,20
1989,3,1,2,0,-99,16.15,4.4,26
1989,3,1,11,39,-98.72,15.73,3.8,20
1989,3,3,1,32,-97,15.76,3.9,13
1989,3,5,10,53,-97.95,15.97,3.9,6
1989,3,7,9,27,-98.16,16.2,3.6,19
1989,3,8,14,35,-96.94,15.53,4.7,10
1989,3,13,3,25,-99.11,16.94,4.8,20
1989,3,13,4,8,-99.16,16.95,4.9,29
1989,3,16,0,44,-98.94,16.11,4.2,15
1989,3,22,2,40,-96.62,15.3,4.5,15
1989,3,25,9,49,-99.25,16.38,3.9,15
1989,3,26,3,58,-96.9,15.78,4.3,15
1989,3,26,8,52,-97.28,15.44,4,20
1989,3,26,14,3,-98.84,16.52,4.7,14
1989,3,26,17,39,-99.75,16.51,4.2,3
1989,3,27,3,40,-99.6,16.6,3.6,20
1989,3,28,0,35,-98.1,15.75,4.1,15
1989,3,28,3,2,-97.94,15.93,3.8,20
1989,3,28,13,37,-97.85,15.53,4.2,15
1989,3,28,16,48,-97.98,15.68,4.1,15
1989,3,28,19,33,-98.88,15.95,4,15
1989,3,30,7,21,-98.85,16.08,4.6,20
1989,4,6,3,18,-98.56,15.75,4,7
1989,4,8,3,37,-96.75,16.19,3.9,35
1989,4,8,9,7,-96.79,16.21,3.5,25
1989,4,11,5,14,-97.43,16.02,3.6,30
1989,4,13,9,46,-95.95,16,4,16
1989,4,19,8,59,-98.8,16.04,5,10
1989,4,22,9,40,-99.74,16.53,3.7,12
1989,4,23,9,14,-96.42,15.77,4.3,15
1989,4,25,4,44,-98.47,15.82,3.9,10
1989,4,25,14,29,-99.275,16.795,6.8,23
1989,4,25,16,26,-99.44,16.53,4.9,10
1989,4,25,19,34,-99.74,16.42,4.3,12
1989,4,25,20,28,-99.63,16.42,4.1,10
1989,4,25,23,10,-99.56,16.34,4.3,14
1989,4,26,0,50,-99.76,16.2,4.1,10
1989,4,26,1,42,-99.13,16.02,3.5,10
1989,4,26,4,58,-99.75,16.43,3.7,10
1989,4,26,5,14,-99.61,16.18,3.7,25
1989,4,27,3,56,-99.57,16.46,3.2,17
1989,4,27,5,42,-99.83,16.41,3.4,33
1989,4,27,16,22,-99.57,16.65,4.3,10
1989,4,28,6,27,-99.84,16.42,3.2,20
1989,4,28,16,52,-99.61,16.66,4.4,7
1989,4,28,17,5,-99.66,16.34,4.3,18
1989,4,30,12,40,-99.4,16.3,3.6,32
1989,4,30,12,43,-99.4,16.4,3.7,22
1989,4,30,12,57,-99.45,16.14,3.5,14
1989,4,30,19,4,-99.78,16.24,3.8,25
1989,5,1,22,3,-99.82,16.41,3.6,20
1989,5,1,23,58,-98.29,16.05,4.1,15
1989,5,2,6,0,-99.64,16.23,4.1,23
1989,5,2,9,30,-99.58,16.64,5.2,20
1989,5,3,9,40,-97,16.11,4.1,10
1989,5,4,10,29,-98.05,16.21,3.7,10
1989,5,8,22,12,-99.3,16.19,4.3,10
1989,5,10,11,0,-99.72,16.72,3.5,9
1989,5,12,16,2,-98.9,16.14,4,20
1989,5,13,17,28,-99.71,16.14,4,10
1989,5,16,20,38,-98.54,16.13,4.6,19
1989,5,17,11,39,-98.94,16.02,3.7,20
1989,5,17,22,39,-99.79,16.38,3.7,24
1989,5,20,4,58,-98.22,15.93,3.7,20
